"d$catalogNumber","d$higherGeographyID","Long","Lat","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","values_slope","values_srtm"
91,"Alto Paraná",-47.906681,-15.699425,211,107,70,1006,280,128,152,216,202,219,195,1492,251,6,75,707,27,419,48,1.00502383708954,1021
185,"Alto Paraná",-47.910956,-15.728528,214,109,70,1036,283,129,154,219,204,223,198,1550,272,6,77,754,26,431,45,6.0078649520874,1015
458,"Alto Paraná",-47.906986,-15.885447,209,113,71,1058,278,120,158,214,195,218,191,1766,309,7,78,891,34,495,50,0.75908362865448,1031
624,"Alto Paraná",-47.50549,-15.58141,211,109,68,1088,284,126,158,216,203,220,194,1430,239,5,76,689,22,193,44,1.6972644329071,1033
636,"Alto Paraná",-47.66436,-15.74086,216,113,70,1086,287,127,160,221,205,224,198,1472,252,5,78,725,23,405,42,4.4306812286377,908
649,"Alto Paraná",-47.69337,-15.64601,218,111,70,1069,289,131,158,223,208,226,201,1450,252,4,78,709,21,399,40,6.3752498626709,950
542,"Alto Tocantins",-47.90883,-15.59683,220,108,70,995,289,136,153,223,210,227,204,1443,261,5,77,699,22,194,40,6.1150426864624,893
786,"Alto Tocantins",-47.868916,-15.639338,212,107,70,1012,281,129,152,216,203,220,196,1468,247,6,75,695,26,204,47,11.2431449890137,1052
1045,"Alto Tocantins",-47.883138,-15.65457,206,106,70,1008,276,125,151,210,199,214,191,1472,239,7,73,685,29,212,51,18.0562686920166,1219
1052,"Alto Tocantins",-47.64161,-15.46805,220,108,69,1025,292,136,156,224,212,228,204,1389,242,4,77,670,19,188,39,2.33045887947083,918
659,"São Francisco",-47.25795,-15.6678,219,115,69,1152,293,128,165,225,209,228,201,1442,280,5,82,749,20,380,37,3.06532859802246,893
668,"São Francisco",-47.31113,-15.72436,220,116,69,1166,295,128,167,226,210,229,202,1430,277,4,82,742,19,378,36,3.52383232116699,865
684,"São Francisco",-47.22474,-15.60798,219,113,68,1150,294,129,165,225,210,228,201,1456,284,5,83,759,18,176,36,4.34619092941284,908
690,"São Francisco",-47.17102,-15.57535,220,113,68,1164,295,131,164,226,211,229,202,1460,287,5,83,767,17,175,36,4.82563018798828,885
694,"São Francisco",-47.30768,-15.62979,220,114,69,1152,295,130,165,226,210,229,202,1444,279,4,82,747,17,380,36,1.9256899356842,898
968,"São Francisco",-47.39434,-15.62563,220,113,68,1131,294,130,164,225,210,228,202,1440,270,4,80,733,19,179,38,4.0224723815918,886
